Timestamp,Equipment,Load (%),Power (kW),Voltage (V),Current (A),Temperature (C),Downtime (min)
1/2/2025 18:00,Motor-101,40,15.51,400.95,43.62,56.38,0
1/2/2025 19:00,Motor-101,40,11.81,385.05,34.59,56.43,0
1/2/2025 20:00,Motor-101,40,11.35,380.55,33.62,55.69,0
1/2/2025 21:00,Motor-101,40,15.86,421.51,42.43,51.57,0
1/2/2025 22:00,Motor-101,48.67,15.83,394.23,45.27,57.29,0
1/2/2025 23:00,Motor-101,56.09,22.79,430.95,59.62,66.19,0
1/3/2025 0:00,Motor-101,55.66,17.98,402.06,50.43,63.69,0
1/3/2025 1:00,Motor-101,72.16,29.88,417.87,80.67,72.82,0
1/3/2025 2:00,Motor-101,88.67,28.27,409.55,77.86,83.39,0
1/3/2025 3:00,Motor-101,76.4,27.34,381.46,80.84,77.79,0
1/3/2025 4:00,Motor-101,85.36,39.29,438,101.19,82.7,0
1/3/2025 5:00,Motor-101,86.72,35.34,403.11,98.9,83.58,0
1/3/2025 6:00,Motor-101,85.37,36.74,413.41,100.26,80.2,0
1/3/2025 7:00,Motor-101,92.13,32.96,385.83,96.37,88.8,6
1/3/2025 8:00,Motor-101,81.7,32.96,399.35,93.1,76.97,0
1/3/2025 9:00,Motor-101,83.31,28.03,413.17,76.53,78.53,0
1/3/2025 10:00,Motor-101,67.24,20.68,416.69,55.99,69.32,0
1/3/2025 11:00,Motor-101,64.98,20.24,433.2,52.71,68.74,0
1/3/2025 12:00,Motor-101,52.2,18.11,420.32,48.61,65.32,0
1/3/2025 13:00,Motor-101,52.98,15.13,395.02,43.21,62.07,0
1/3/2025 14:00,Motor-101,46.77,18.74,399.6,52.91,54.3,0
1/3/2025 15:00,Motor-101,44.84,15.02,391.66,43.25,56.6,0
1/3/2025 16:00,Motor-101,40,16.34,387.96,47.51,54.84,0
1/3/2025 17:00,Motor-101,40,13.56,424.64,36.01,50.02,0
1/3/2025 18:00,Motor-101,40,15.86,383.49,46.64,52.65,0
1/3/2025 19:00,Motor-101,40,11.94,385.63,34.93,53.31,0
1/3/2025 20:00,Motor-101,40,15.49,411,42.51,55.16,0
1/3/2025 21:00,Motor-101,47.06,16.4,382.86,48.31,57.31,0
1/3/2025 22:00,Motor-101,41.6,13.15,385.65,38.46,54.43,0
1/3/2025 23:00,Motor-101,49.49,18.97,407.88,52.45,61.89,0
1/4/2025 0:00,Motor-101,58.38,23.12,380.92,68.5,66.08,0
1/4/2025 1:00,Motor-101,83.7,32.67,421.04,87.58,80.39,0
1/4/2025 2:00,Motor-101,76.72,31.16,428.06,82.16,77.88,0
1/4/2025 3:00,Motor-101,76.04,32.58,428.67,85.79,76.03,0
1/4/2025 4:00,Motor-101,91.67,30.04,419.09,80.91,85.89,0
1/4/2025 5:00,Motor-101,86.25,30.6,382.34,90.33,79.22,0
1/4/2025 6:00,Motor-101,96.15,36.83,403.12,103.14,85.11,0
1/4/2025 7:00,Motor-101,88.84,31.17,421.57,83.45,79.87,0
1/4/2025 8:00,Motor-101,88.22,31.28,412.88,85.52,82.78,0
1/4/2025 9:00,Motor-101,90.57,28.95,423.9,77.08,87.72,0
1/4/2025 10:00,Motor-101,80.22,26.33,413.71,71.83,78.59,0
1/4/2025 11:00,Motor-101,73.49,24.42,394.29,69.89,75.81,0
1/4/2025 12:00,Motor-101,58.37,19.17,403.38,53.65,71.53,0
1/4/2025 13:00,Motor-101,54.2,20.05,420.61,53.82,62.27,0
1/4/2025 14:00,Motor-101,40.73,14.48,385.5,42.4,54.41,0
1/4/2025 15:00,Motor-101,40,17.22,436.77,44.5,54.54,0
1/4/2025 16:00,Motor-101,43.09,17.98,438.12,46.33,56.66,0
1/4/2025 17:00,Motor-101,40,14.8,430.31,38.82,54.17,0
1/4/2025 18:00,Motor-101,40,13.19,433.51,34.35,51.29,0
1/4/2025 19:00,Motor-101,40,16.84,414.88,45.81,54.16,0
1/4/2025 20:00,Motor-101,40,15.96,434.46,41.47,54.92,0
1/4/2025 21:00,Motor-101,45.42,15.65,408.9,43.2,55.34,0
1/4/2025 22:00,Motor-101,40,13.8,399.82,38.95,55.66,0
1/4/2025 23:00,Motor-101,49.36,19.87,414.29,54.12,56.63,0
1/5/2025 0:00,Motor-101,63.24,25.5,424.65,67.82,69.01,0
1/5/2025 1:00,Motor-101,65.07,19.62,408.66,54.21,66.2,0
1/5/2025 2:00,Motor-101,62.18,28.08,428.13,74.06,69.59,0
1/5/2025 3:00,Motor-101,71.73,28.43,382.6,83.91,74.24,0
1/5/2025 4:00,Motor-101,85.14,26.39,421.72,70.68,81.65,0
1/5/2025 5:00,Motor-101,86.62,36.55,397.67,103.8,80.86,0
1/5/2025 6:00,Motor-101,85.51,37.46,424.23,99.72,84.36,0
1/5/2025 7:00,Motor-101,84.6,26.01,400.14,73.42,80.29,0
1/5/2025 8:00,Motor-101,79.94,25.26,393.76,72.45,81.14,0
1/5/2025 9:00,Motor-101,74.59,21.86,407.19,60.63,73.21,0
1/5/2025 10:00,Motor-101,71.77,24.03,416.17,65.2,69.86,0
1/5/2025 11:00,Motor-101,67.15,28.8,414.87,78.41,71.59,0
1/5/2025 12:00,Motor-101,53.84,21.43,404.68,59.82,62.68,0
1/5/2025 13:00,Motor-101,53.94,21.15,402.6,59.32,62.34,0
1/5/2025 14:00,Motor-101,50.77,15.37,414.14,41.9,59.71,0
1/5/2025 15:00,Motor-101,40.5,17.76,424.99,47.19,58.12,0
1/5/2025 16:00,Motor-101,42,15.05,425.42,39.95,56.4,0
1/5/2025 17:00,Motor-101,40,12.73,395.09,36.4,52.7,0
1/5/2025 18:00,Motor-101,40,12.34,425.42,32.75,53.48,0
1/5/2025 19:00,Motor-101,40,14.05,429.88,36.92,53.46,0
1/5/2025 20:00,Motor-101,40,15.99,405.23,44.55,59.08,0
1/5/2025 21:00,Motor-101,44.53,17.92,434.19,46.62,57.77,0
1/5/2025 22:00,Motor-101,45.27,17.13,418.2,46.26,57.64,0
1/5/2025 23:00,Motor-101,53.49,19.17,412.85,52.44,61.19,0
1/6/2025 0:00,Motor-101,58.68,23.05,411.42,63.32,66.28,0
1/6/2025 1:00,Motor-101,66.79,28.18,430.53,73.98,72.91,0
1/6/2025 2:00,Motor-101,67.38,24.15,392.55,69.53,72.84,0
1/6/2025 3:00,Motor-101,83.64,31.19,407.61,86.47,76.06,0
1/6/2025 4:00,Motor-101,94.04,35.08,390.8,101.43,84.8,0
1/6/2025 5:00,Motor-101,93.96,40.64,410.91,111.75,85.91,0
1/6/2025 6:00,Motor-101,93.08,31,400.7,87.41,84.79,0
1/6/2025 7:00,Motor-101,89.23,30.66,412.07,84.09,82.56,0
1/6/2025 8:00,Motor-101,79.89,27.05,385.54,79.29,75.61,0
1/6/2025 9:00,Motor-101,81.83,26.81,389.42,77.81,83.04,0
1/6/2025 10:00,Motor-101,75.91,29.93,439.18,77.02,73.99,0
1/6/2025 11:00,Motor-101,67.59,25.77,425.6,68.43,70.67,0
1/6/2025 12:00,Motor-101,58.74,17.25,388.86,50.12,65.5,0
1/6/2025 13:00,Motor-101,56.57,17.28,424.98,45.95,64.88,0
1/6/2025 14:00,Motor-101,43.21,13,403.83,36.38,57.73,0
1/6/2025 15:00,Motor-101,40,16.65,413.84,45.45,55.15,0
1/6/2025 16:00,Motor-101,40,13.07,393.99,37.49,52.25,0
1/6/2025 17:00,Motor-101,40,14.71,418.93,39.67,53.22,0
1/6/2025 18:00,Motor-101,40,15.14,413.46,41.38,55.11,0
1/6/2025 19:00,Motor-101,40,16.43,400.25,46.39,56.13,0
1/6/2025 20:00,Motor-101,40,13.52,409.89,37.29,55.19,0
1/6/2025 21:00,Motor-101,40,16.52,409.27,45.61,51.48,0
1/6/2025 22:00,Motor-101,45.87,14.17,435.04,36.79,59.34,0
1/6/2025 23:00,Motor-101,52.19,22.06,423.37,58.89,62.22,0
1/7/2025 0:00,Motor-101,61.43,25.21,408.6,69.75,70.42,0
1/7/2025 1:00,Motor-101,63.22,24,424.17,63.97,69.21,0
1/7/2025 2:00,Motor-101,79.94,27.3,385.24,80.13,79.49,0
1/7/2025 3:00,Motor-101,80.22,27.95,415.63,76.03,79.09,0
1/7/2025 4:00,Motor-101,96.32,30.98,412.94,84.82,83.9,0
1/7/2025 5:00,Motor-101,86.06,23.68,388.33,68.95,82.16,0
1/7/2025 6:00,Motor-101,89.64,36.9,416.37,100.19,81.74,0
1/7/2025 7:00,Motor-101,86.18,39.76,435.98,103.1,84.72,0
1/7/2025 8:00,Motor-101,83.44,34.99,435.59,90.83,77.58,0
1/7/2025 9:00,Motor-101,83.87,35.88,427.97,94.78,81.72,0
1/7/2025 10:00,Motor-101,72.13,31.02,418.03,83.9,71.92,0
1/7/2025 11:00,Motor-101,71.87,26.24,420.98,70.48,69.7,0
1/7/2025 12:00,Motor-101,62.76,23.54,417.45,63.76,68.25,0
1/7/2025 13:00,Motor-101,62.23,21.13,401.32,59.52,64.18,0
1/7/2025 14:00,Motor-101,41.26,14.62,393.74,41.97,54.87,0
1/7/2025 15:00,Motor-101,40,16.16,423.83,43.1,52.47,0
1/7/2025 16:00,Motor-101,42.55,18.7,414.39,51.02,55.46,0
1/7/2025 17:00,Motor-101,40,12.94,426.71,34.29,56.02,0
1/7/2025 18:00,Motor-101,40,15.97,409.64,44.07,52.18,0
1/7/2025 19:00,Motor-101,40,14,402.73,39.31,52.11,0
1/7/2025 20:00,Motor-101,40,14.51,412.39,39.78,59.01,0
1/7/2025 21:00,Motor-101,45.86,16.05,380.73,47.66,56.57,0
1/7/2025 22:00,Motor-101,53.53,22.27,415.94,60.53,63.15,0
1/7/2025 23:00,Motor-101,51.68,17.44,393.64,50.1,61.66,0
1/8/2025 0:00,Motor-101,64.07,21.07,434.71,54.82,65.44,0
1/8/2025 1:00,Motor-101,66.42,25.79,423.57,68.89,68.97,0
1/8/2025 2:00,Motor-101,81.02,23.86,402.47,67.05,79.96,0
1/8/2025 3:00,Motor-101,79.57,23.98,389.93,69.58,76.8,0
1/8/2025 4:00,Motor-101,83.61,26.25,398.69,74.5,82.07,0
1/8/2025 5:00,Motor-101,81.06,26.84,424.65,71.51,81.47,0
1/8/2025 6:00,Motor-101,92.38,30.51,386.86,89.22,88.06,42
1/8/2025 7:00,Motor-101,82.53,30.36,424.25,80.95,76.93,0
1/8/2025 8:00,Motor-101,84.68,25.31,388.45,73.72,77.8,0
1/8/2025 9:00,Motor-101,67.73,24.6,434.89,64,70.53,0
1/8/2025 10:00,Motor-101,84.24,30.21,380.79,89.76,82.8,0
1/8/2025 11:00,Motor-101,66.42,27.11,385.12,79.62,67.64,0
1/8/2025 12:00,Motor-101,72.87,27.21,384.02,80.15,73.84,0
1/8/2025 13:00,Motor-101,53.23,16.17,392.31,46.64,61.65,0
1/8/2025 14:00,Motor-101,44.84,13.55,413.89,37.05,55.81,0
1/8/2025 15:00,Motor-101,40,14.2,411.46,39.05,57.01,0
1/8/2025 16:00,Motor-101,40.25,12.09,389.31,35.13,50,0
1/8/2025 17:00,Motor-101,40,14.26,418.64,38.54,52.44,0
1/8/2025 18:00,Motor-101,40,11.99,381.63,35.55,56.54,0
1/8/2025 19:00,Motor-101,40,11.34,381.18,33.67,51.74,0
1/8/2025 20:00,Motor-101,40,13.27,419.16,35.81,54.98,0
1/8/2025 21:00,Motor-101,40,17.1,423.34,45.69,53.25,0
1/8/2025 22:00,Motor-101,43.2,14.15,420.09,38.1,58.24,0
1/8/2025 23:00,Motor-101,55.2,15.5,380.78,46.05,62.5,0
1/9/2025 0:00,Motor-101,61.63,25.53,405.29,71.31,64.48,0
1/9/2025 1:00,Motor-101,65.15,21.67,395.57,62.02,71.19,0
1/9/2025 2:00,Motor-101,67.22,23.89,417.45,64.78,71.54,0
1/9/2025 3:00,Motor-101,70.8,29.34,397.67,83.5,75.88,0
1/9/2025 4:00,Motor-101,83.26,31.62,432.11,82.84,80.75,0
1/9/2025 5:00,Motor-101,89.55,25.95,405.51,72.44,84.03,0
1/9/2025 6:00,Motor-101,91.54,30.53,418.01,82.67,81.5,0
1/9/2025 7:00,Motor-101,89.83,35.2,439.06,90.76,83.53,0
1/9/2025 8:00,Motor-101,83.28,32.69,381.1,97.08,78.41,0
1/9/2025 9:00,Motor-101,82.19,29.41,396.44,83.97,77.36,0
1/9/2025 10:00,Motor-101,80.15,22.35,392.39,64.47,79.03,0
1/9/2025 11:00,Motor-101,69.04,27.05,416.03,73.6,73.39,0
1/9/2025 12:00,Motor-101,50.8,15.11,411.14,41.59,57.92,0
1/9/2025 13:00,Motor-101,54.82,19.41,384.97,57.09,61.44,0
1/9/2025 14:00,Motor-101,41.94,13.87,397.32,39.52,52.35,0
1/9/2025 15:00,Motor-101,40,14.49,413.98,39.62,56.11,0
1/9/2025 16:00,Motor-101,40,13.27,423.95,35.44,54.37,0
1/9/2025 17:00,Motor-101,40,15.04,409.78,41.55,54.24,0
1/9/2025 18:00,Motor-101,40,11.33,386.4,33.2,52.59,0
1/9/2025 19:00,Motor-101,40,14.5,421.3,38.96,57.54,0
1/9/2025 20:00,Motor-101,40,16.3,427.96,43.12,52.88,0
1/9/2025 21:00,Motor-101,41.9,12.44,401.66,35.05,52,0
1/9/2025 22:00,Motor-101,44.63,15.68,391.11,45.38,58.02,0
1/9/2025 23:00,Motor-101,54.14,21.79,428.39,57.57,63.7,0
1/10/2025 0:00,Motor-101,64.17,22.28,394.98,63.9,69.42,0
1/10/2025 1:00,Motor-101,69.91,24.78,390.83,71.81,72.36,0
1/10/2025 2:00,Motor-101,69.59,31.8,435.46,82.71,73.86,0
1/10/2025 3:00,Motor-101,81.02,35.14,431.72,92.18,79.97,0
1/10/2025 4:00,Motor-101,90.67,31.78,382.22,94.16,83.37,0
1/10/2025 5:00,Motor-101,86.81,31.79,384.62,93.62,81.46,0
1/10/2025 6:00,Motor-101,96.28,30.23,383.92,89.17,85.98,0
1/10/2025 7:00,Motor-101,85.72,36.48,417.55,98.96,83.52,0
1/10/2025 8:00,Motor-101,79.23,30.64,381.46,90.96,78.71,0
1/10/2025 9:00,Motor-101,84.78,38.41,427.93,101.67,80.96,0
1/10/2025 10:00,Motor-101,81.12,28.71,404.12,80.46,77.3,0
1/10/2025 11:00,Motor-101,72.36,31.06,439.05,80.13,74.05,0
1/10/2025 12:00,Motor-101,51.59,17.31,424.25,46.2,57.44,0
1/10/2025 13:00,Motor-101,50.73,16.34,397.23,46.6,58.83,0
1/10/2025 14:00,Motor-101,40,13.19,420.78,35.49,51.59,0
1/10/2025 15:00,Motor-101,40,18,432.75,47.12,52.35,0
1/10/2025 16:00,Motor-101,45.57,18.78,390.02,54.52,56.01,0
1/10/2025 17:00,Motor-101,40,12.94,410.76,35.69,57.24,0
1/10/2025 18:00,Motor-101,40,15.36,391.19,44.47,52.8,0
1/10/2025 19:00,Motor-101,40,17.85,438.15,46.14,53.66,0
1/10/2025 20:00,Motor-101,40,16.21,425.49,43.14,51.65,0
1/10/2025 21:00,Motor-101,40.5,12.52,393.47,36.03,53.55,0
1/10/2025 22:00,Motor-101,56.79,17.4,414.81,47.51,65.95,0
1/10/2025 23:00,Motor-101,50.42,19.95,387.77,58.26,61.42,0
1/11/2025 0:00,Motor-101,62.72,19.08,413.05,52.36,69.8,0
1/11/2025 1:00,Motor-101,59.02,22.44,395.59,64.3,62.9,0
1/11/2025 2:00,Motor-101,70.8,26.37,393.21,75.99,72.46,0
1/11/2025 3:00,Motor-101,63.81,26.44,415.54,72.1,66.55,0
1/11/2025 4:00,Motor-101,92.6,30.67,413.94,83.97,83.3,0
1/11/2025 5:00,Motor-101,90.18,38.06,419.51,102.82,84.72,0
1/11/2025 6:00,Motor-101,92.03,37.7,430.22,99.3,86.65,0
1/11/2025 7:00,Motor-101,95.89,37.98,389.52,110.5,88.83,55
1/11/2025 8:00,Motor-101,83.27,25.56,434.52,66.65,81.24,0
1/11/2025 9:00,Motor-101,89.05,27.27,395.52,78.12,84.12,0
1/11/2025 10:00,Motor-101,73.76,22.78,413.59,62.42,73.07,0
1/11/2025 11:00,Motor-101,66.66,18.85,397,53.82,70.37,0
1/11/2025 12:00,Motor-101,65.93,20.47,403.53,57.48,69.09,0
1/11/2025 13:00,Motor-101,56.09,21.42,390.43,62.16,65.01,0
1/11/2025 14:00,Motor-101,48.76,14.47,408.41,40.14,61.21,0
1/11/2025 15:00,Motor-101,48.89,17.1,415.66,46.61,57.85,0
1/11/2025 16:00,Motor-101,40,11.16,395.15,32.02,53.09,0
1/11/2025 17:00,Motor-101,40,12.96,436.66,33.64,51.55,0
1/11/2025 18:00,Motor-101,40,13.94,429.56,36.77,56.33,0
1/11/2025 19:00,Motor-101,40,11.85,393.8,34.1,55.16,0
1/11/2025 20:00,Motor-101,40,15.36,399.24,43.59,52.87,0
1/11/2025 21:00,Motor-101,40,16.56,432.09,43.44,55.28,0
1/11/2025 22:00,Motor-101,40,12.58,412.59,34.55,59.13,0
1/11/2025 23:00,Motor-101,51.44,15.09,411.82,41.52,58.49,0
1/12/2025 0:00,Motor-101,56.75,25.83,434.71,67.36,65.92,0
1/12/2025 1:00,Motor-101,66.96,23.33,380.07,69.59,67.49,0
1/12/2025 2:00,Motor-101,67.87,22.03,413.5,60.42,71.93,0
1/12/2025 3:00,Motor-101,83.44,30.46,399.56,86.45,78.07,0
1/12/2025 4:00,Motor-101,87.46,29.58,388.97,86.22,82.4,0
1/12/2025 5:00,Motor-101,84.29,35.49,438.48,91.77,83.81,0
1/12/2025 6:00,Motor-101,96.08,43.09,437.16,111.75,89.13,55
1/12/2025 7:00,Motor-101,87.66,29.1,439.2,75.13,81.79,0
1/12/2025 8:00,Motor-101,97.99,37.35,422.15,100.33,88.75,0
1/12/2025 9:00,Motor-101,82.26,26.28,385.27,77.34,75.27,0
1/12/2025 10:00,Motor-101,69.99,27.5,414.05,75.3,71.43,0
1/12/2025 11:00,Motor-101,64.91,18.8,390.05,54.64,70.09,0
1/12/2025 12:00,Motor-101,67,26.5,381.9,78.69,72.05,0
1/12/2025 13:00,Motor-101,52.53,22.48,422.54,60.33,60.23,0
1/12/2025 14:00,Motor-101,49.48,19.67,400.37,55.71,60.96,0
1/12/2025 15:00,Motor-101,45.37,17.23,407.14,47.98,57.62,0
1/12/2025 16:00,Motor-101,42.7,11.95,384.9,35.19,56.02,0
1/12/2025 17:00,Motor-101,40,13.54,432.31,35.51,53.03,0
1/12/2025 18:00,Motor-101,40,14.79,419.52,39.97,52.85,0
1/12/2025 19:00,Motor-101,40,16.65,393.71,47.94,54.87,0
1/12/2025 20:00,Motor-101,40,14.82,391.97,42.88,54.24,0
1/12/2025 21:00,Motor-101,40,16.63,432.1,43.63,50.66,0
1/12/2025 22:00,Motor-101,42.58,14.27,400.76,40.39,58.7,0
1/12/2025 23:00,Motor-101,53.36,20.84,406.32,58.17,64.11,0
1/13/2025 0:00,Motor-101,65.39,24.24,434.04,63.35,69.16,0
1/13/2025 1:00,Motor-101,71.03,24.07,434.74,62.81,69.46,0
1/13/2025 2:00,Motor-101,82.38,26.25,423.99,70.24,82.19,0
1/13/2025 3:00,Motor-101,83.68,25.8,390.78,74.9,80.73,0
1/13/2025 4:00,Motor-101,85.85,34.31,394.83,98.58,83.86,0
1/13/2025 5:00,Motor-101,92.84,34.08,401.55,96.29,80,0
1/13/2025 6:00,Motor-101,88.19,30.76,438.16,79.66,80.67,0
1/13/2025 7:00,Motor-101,82.5,26.43,426.41,70.32,81.82,0
1/13/2025 8:00,Motor-101,85.75,24.71,394.16,71.12,82.4,0
1/13/2025 9:00,Motor-101,81.6,32.57,400.22,92.33,76.39,0
1/13/2025 10:00,Motor-101,67.22,26.75,417.03,72.78,69.47,0
1/13/2025 11:00,Motor-101,66.02,24.35,382.2,72.26,68.91,0
1/13/2025 12:00,Motor-101,58.39,24.88,430.65,65.53,69.19,0
1/13/2025 13:00,Motor-101,57.39,16.77,392.35,48.48,64.91,0
1/13/2025 14:00,Motor-101,44.64,19.04,411.87,52.44,56.71,0
1/13/2025 15:00,Motor-101,42.45,14.97,398.97,42.57,55.31,0
1/13/2025 16:00,Motor-101,40,14.45,407.28,40.25,54.69,0
1/13/2025 17:00,Motor-101,41.46,11.53,388.38,33.67,54.6,0
1/13/2025 18:00,Motor-101,40,14.78,392.11,42.77,51.92,0
1/13/2025 19:00,Motor-101,40,13.27,432.09,34.83,57.83,0
1/13/2025 20:00,Motor-101,40,16.52,436.68,42.93,54.99,0
1/13/2025 21:00,Motor-101,50.8,19.9,432.13,52.24,60.37,0
1/13/2025 22:00,Motor-101,50.53,18.61,392.94,53.74,62.69,0
1/13/2025 23:00,Motor-101,60.4,21.87,386.4,64.22,63.95,0
1/14/2025 0:00,Motor-101,59.68,25.29,432.25,66.42,66.47,0
1/14/2025 1:00,Motor-101,75.83,27.8,432.71,72.93,76.41,0
1/14/2025 2:00,Motor-101,80.95,33.76,428.47,89.44,76.11,0
1/14/2025 3:00,Motor-101,79.73,25.56,429.07,67.61,80.59,0
1/14/2025 4:00,Motor-101,85.12,28.35,399.48,80.57,81.1,0
1/14/2025 5:00,Motor-101,96.95,33.74,403.31,94.96,86.48,0
1/14/2025 6:00,Motor-101,83.53,29.46,384.39,86.99,78.92,0
1/14/2025 7:00,Motor-101,94.43,32.29,407.81,89.89,89.72,52
1/14/2025 8:00,Motor-101,86.43,29.78,394.76,85.62,79.49,0
1/14/2025 9:00,Motor-101,86.33,35.09,424.81,93.77,77.42,0
1/14/2025 10:00,Motor-101,81.59,33.8,405.85,94.54,79.13,0
1/14/2025 11:00,Motor-101,61.83,21.17,391.83,61.32,70.16,0
1/14/2025 12:00,Motor-101,57.67,21.38,417.04,58.2,63.74,0
1/14/2025 13:00,Motor-101,54.85,20.55,411.94,56.62,63.32,0
1/14/2025 14:00,Motor-101,46.27,19.61,403.99,55.09,56.8,0
1/14/2025 15:00,Motor-101,40,15.61,387.39,45.75,56.63,0
1/14/2025 16:00,Motor-101,40,15.66,397.72,44.69,55.03,0
1/14/2025 17:00,Motor-101,40,14.35,428.94,37.98,53.7,0
1/14/2025 18:00,Motor-101,40,14.14,380.16,42.21,54.14,0
1/14/2025 19:00,Motor-101,43.75,17.45,427.62,46.32,57.08,0
1/14/2025 20:00,Motor-101,40,16.96,434.35,44.32,51.84,0
1/14/2025 21:00,Motor-101,40,15.33,398.12,43.71,54.75,0
1/14/2025 22:00,Motor-101,47.18,19.71,428.57,52.21,60.09,0
1/14/2025 23:00,Motor-101,51.01,15.64,389.18,45.61,58.35,0
1/15/2025 0:00,Motor-101,59.6,18.84,412.12,51.93,67.95,0
1/15/2025 1:00,Motor-101,62.45,22.76,392.37,65.89,65.99,0
1/15/2025 2:00,Motor-101,78.67,22.76,383.51,67.4,74.5,0
1/15/2025 3:00,Motor-101,84.55,30.59,420.55,82.61,77.63,0
1/15/2025 4:00,Motor-101,94.52,29.69,380.95,88.52,85.89,8
1/15/2025 5:00,Motor-101,91.82,26.66,396.45,76.38,88.35,0
1/15/2025 6:00,Motor-101,84.5,24.71,401.3,69.94,79.28,0
1/15/2025 7:00,Motor-101,85.18,28.68,428.02,76.11,81.18,0
1/15/2025 8:00,Motor-101,91.14,34.07,419.05,92.34,84.9,0
1/15/2025 9:00,Motor-101,75.35,33.38,420.17,90.24,72.74,0
1/15/2025 10:00,Motor-101,78.47,28.88,423.84,77.38,80.98,0
1/15/2025 11:00,Motor-101,68.25,22.87,437.46,59.38,69.59,0
1/15/2025 12:00,Motor-101,55.05,16.75,412.15,46.17,64.29,0
1/15/2025 13:00,Motor-101,60.15,22.63,400.85,64.12,65.48,0
1/15/2025 14:00,Motor-101,42.33,17.36,389.14,50.67,52.58,0
1/15/2025 15:00,Motor-101,40,15.29,430.52,40.34,55.56,0
1/15/2025 16:00,Motor-101,40,12.75,425.32,34.04,54.45,0
1/15/2025 17:00,Motor-101,40,12.12,422.52,32.58,55.16,0
1/15/2025 18:00,Motor-101,40,11.81,401.61,33.4,52.22,0
1/15/2025 19:00,Motor-101,40,13.45,398.33,38.35,55.42,0
1/15/2025 20:00,Motor-101,44.8,18.93,410.94,52.31,54.62,0
1/15/2025 21:00,Motor-101,40.04,13.43,431.09,35.37,54.02,0
1/15/2025 22:00,Motor-101,42.81,18.71,432.68,49.11,58.02,0
1/15/2025 23:00,Motor-101,55.08,16.08,398.28,45.84,64.25,0
1/16/2025 0:00,Motor-101,54.06,18.83,421.7,50.73,61.73,0
